Date,SEC,HYU,NAVER
2010-01-01,15980,121000,60269
2010-01-02,15980,121000,60269
2010-01-03,15980,121000,60269
2010-01-04,16180,119000,60583
2010-01-05,16440,110000,60583
2010-01-06,16820,111000,60269
2010-01-07,16260,106000,60426
2010-01-08,16420,106000,58386
2010-01-09,16420,106000,58386
2010-01-10,16420,106000,58386
2010-01-11,15940,101500,57601
2010-01-12,16180,103000,60269
2010-01-13,15940,102000,58700
2010-01-14,16540,103500,57287
2010-01-15,16840,108000,56817
2010-01-16,16840,108000,56817
2010-01-17,16840,108000,56817
2010-01-18,16860,108000,58543
2010-01-19,16460,104500,58229
2010-01-20,16680,103500,58386
2010-01-21,17000,109000,59328
2010-01-22,16500,109500,57915
2010-01-23,16500,109500,57915
2010-01-24,16500,109500,57915
2010-01-25,16840,111000,59014
2010-01-26,16300,108500,58700
2010-01-27,16000,109000,58072
2010-01-28,16160,113500,57130
2010-01-29,15680,113000,54305
2010-01-30,15680,113000,54305
2010-01-31,15680,113000,54305
2010-02-01,15540,116000,52893
2010-02-02,15440,112000,52893
2010-02-03,15540,112000,52265
2010-02-04,15520,116000,53991
2010-02-05,15000,115500,52422
2010-02-06,15000,115500,52422
2010-02-07,15000,115500,52422
2010-02-08,14960,116000,53207
2010-02-09,15220,116500,51480
2010-02-10,15100,114000,50538
2010-02-11,15260,116000,52422
2010-02-12,15000,116000,54462
2010-02-13,15000,116000,54462
2010-02-14,15000,116000,54462
2010-02-15,15000,116000,54462
2010-02-16,15120,117000,55404
2010-02-17,15580,117500,55561
2010-02-18,15500,115500,54148
2010-02-19,15200,114500,53991
2010-02-20,15200,114500,53991
2010-02-21,15200,114500,53991
2010-02-22,15460,117000,55247
2010-02-23,15340,117000,55247
2010-02-24,15040,114000,55875
2010-02-25,14720,114000,56660
2010-02-26,14880,115000,56817
2010-02-27,14880,115000,56817
2010-02-28,14880,115000,56817
2010-03-01,14880,115000,56817
2010-03-02,15400,113500,59171
2010-03-03,15420,114500,57444
2010-03-04,15220,114500,58072
2010-03-05,15500,114500,58072
2010-03-06,15500,114500,58072
2010-03-07,15500,114500,58072
2010-03-08,15720,115000,60113
2010-03-09,15720,114000,60269
2010-03-10,15680,114500,58700
2010-03-11,15560,112000,59328
2010-03-12,15560,108000,59328
2010-03-13,15560,108000,59328
2010-03-14,15560,108000,59328
2010-03-15,15360,107500,57758
2010-03-16,15300,109500,59014
2010-03-17,15960,112000,59485
2010-03-18,15940,111500,57444
2010-03-19,16080,115000,58386
2010-03-20,16080,115000,58386
2010-03-21,16080,115000,58386
2010-03-22,16020,115500,57758
2010-03-23,16180,117500,59642
2010-03-24,16380,116500,59171
2010-03-25,16380,117000,59642
2010-03-26,16400,116000,59328
2010-03-27,16400,116000,59328
2010-03-28,16400,116000,59328
2010-03-29,16360,117000,59171
2010-03-30,16280,116000,56817
2010-03-31,16360,115500,56503
2010-04-01,16900,121000,58857
2010-04-02,17140,128000,58072
2010-04-03,17140,128000,58072
2010-04-04,17140,128000,58072
2010-04-05,17400,130500,59328
2010-04-06,17380,129000,59956
2010-04-07,17180,128000,59956
2010-04-08,17260,127500,60897
2010-04-09,17120,126500,59642
2010-04-10,17120,126500,59642
2010-04-11,17120,126500,59642
2010-04-12,16600,118000,59642
2010-04-13,16560,120000,61368
2010-04-14,16900,119500,61368
2010-04-15,17100,119000,61211
2010-04-16,16960,119000,59014
2010-04-17,16960,119000,59014
2010-04-18,16960,119000,59014
2010-04-19,16540,119000,57601
2010-04-20,16560,123000,56973
2010-04-21,17040,125000,58543
2010-04-22,16820,125500,58072
2010-04-23,16600,130000,58072
2010-04-24,16600,130000,58072
2010-04-25,16600,130000,58072
2010-04-26,16680,131500,59328
2010-04-27,16700,130000,59956
2010-04-28,16500,131500,59956
2010-04-29,16500,135500,59642
2010-04-30,16980,137000,58229
2010-05-01,16980,137000,58229
2010-05-02,16980,137000,58229
2010-05-03,16580,134500,56503
2010-05-04,16680,138000,54776
2010-05-05,16680,138000,54776
2010-05-06,16280,136500,56660
2010-05-07,15880,131000,55090
2010-05-08,15880,131000,55090
2010-05-09,15880,131000,55090
2010-05-10,16060,130500,55718
2010-05-11,15820,130500,56032
2010-05-12,15780,134000,57130
2010-05-13,16260,141500,57130
2010-05-14,16200,144500,57130
2010-05-15,16200,144500,57130
2010-05-16,16200,144500,57130
2010-05-17,15680,140500,56346
2010-05-18,15840,135500,55718
2010-05-19,15460,140000,55090
2010-05-20,15120,139500,56503
2010-05-21,15120,139500,56503
2010-05-22,15120,139500,56503
2010-05-23,15120,139500,56503
2010-05-24,15160,138500,55404
2010-05-25,14820,135500,54776
2010-05-26,15000,136000,54776
2010-05-27,15440,137000,53364
2010-05-28,15560,137500,54305
2010-05-29,15560,137500,54305
2010-05-30,15560,137500,54305
2010-05-31,15520,140000,54619
2010-06-01,15360,132500,56189
2010-06-02,15360,132500,56189
2010-06-03,15540,132000,56660
2010-06-04,15860,134000,57444
2010-06-05,15860,134000,57444
2010-06-06,15860,134000,57444
2010-06-07,15740,135000,56189
2010-06-08,15700,139000,57130
2010-06-09,15400,136500,57915
2010-06-10,15460,135500,56817
2010-06-11,15940,137500,58700
2010-06-12,15940,137500,58700
2010-06-13,15940,137500,58700
2010-06-14,16140,142000,60583
2010-06-15,15960,146000,59799
2010-06-16,16380,146000,59485
2010-06-17,16340,145000,58072
2010-06-18,16440,144500,57915
2010-06-19,16440,144500,57915
2010-06-20,16440,144500,57915
2010-06-21,16600,145500,59171
2010-06-22,16320,146000,59642
2010-06-23,16100,141500,58700
2010-06-24,16400,141000,58543
2010-06-25,16100,143500,57130
2010-06-26,16100,143500,57130
2010-06-27,16100,143500,57130
2010-06-28,15920,145000,57287
2010-06-29,15840,142000,56817
2010-06-30,15480,144500,57601
2010-07-01,15320,137000,59171
2010-07-02,15340,132500,58857
2010-07-03,15340,132500,58857
2010-07-04,15340,132500,58857
2010-07-05,15340,131000,61054
2010-07-06,15500,137000,63722
2010-07-07,15380,136000,61054
2010-07-08,15500,134500,61054
2010-07-09,15920,139000,62153
2010-07-10,15920,139000,62153
2010-07-11,15920,139000,62153
2010-07-12,16040,141000,61839
2010-07-13,15920,138000,61211
2010-07-14,16480,137000,61054
2010-07-15,16400,139500,60269
2010-07-16,16040,133500,62153
2010-07-17,16040,133500,62153
2010-07-18,16040,133500,62153
2010-07-19,15900,134000,60897
2010-07-20,15960,138000,60269
2010-07-21,16340,137000,60113
2010-07-22,16160,133500,59014
2010-07-23,16220,137000,61054
2010-07-24,16220,137000,61054
2010-07-25,16220,137000,61054
2010-07-26,16360,140000,61525
2010-07-27,16580,143500,59642
2010-07-28,16740,145000,59642
2010-07-29,16540,144000,58857
2010-07-30,16200,149000,57758
2010-07-31,16200,149000,57758
2010-08-01,16200,149000,57758
2010-08-02,16200,152000,57915
2010-08-03,16300,150500,57601
2010-08-04,16120,148500,59642
2010-08-05,16080,146500,59642
2010-08-06,16020,143000,59485
2010-08-07,16020,143000,59485
2010-08-08,16020,143000,59485
2010-08-09,16040,144000,60897
2010-08-10,15860,137000,60269
2010-08-11,15580,138000,59799
2010-08-12,15320,137000,59485
2010-08-13,15620,137500,59642
2010-08-14,15620,137500,59642
2010-08-15,15620,137500,59642
2010-08-16,15640,137000,58543
2010-08-17,15640,135000,59328
2010-08-18,15560,132000,59171
2010-08-19,15780,138000,58229
2010-08-20,15680,139500,58386
2010-08-21,15680,139500,58386
2010-08-22,15680,139500,58386
2010-08-23,15800,133500,58386
2010-08-24,15660,135500,60426
2010-08-25,15440,134500,59485
2010-08-26,15460,136000,60897
2010-08-27,15320,138000,59642
2010-08-28,15320,138000,59642
2010-08-29,15320,138000,59642
2010-08-30,15520,141000,59956
2010-08-31,15120,141500,61682
2010-09-01,15040,144000,60897
2010-09-02,15180,143000,59642
2010-09-03,15220,147000,60897
2010-09-04,15220,147000,60897
2010-09-05,15220,147000,60897
2010-09-06,15600,149500,60113
2010-09-07,15760,148500,59642
2010-09-08,15420,152000,61368
2010-09-09,15120,151000,62467
2010-09-10,15320,148000,62781
2010-09-11,15320,148000,62781
2010-09-12,15320,148000,62781
2010-09-13,15400,155000,62624
2010-09-14,15200,157000,61211
2010-09-15,15140,158000,61368
2010-09-16,15140,152000,60583
2010-09-17,15460,152000,61839
2010-09-18,15460,152000,61839
2010-09-19,15460,152000,61839
2010-09-20,15600,155500,61996
2010-09-21,15600,155500,61996
2010-09-22,15600,155500,61996
2010-09-23,15600,155500,61996
2010-09-24,15240,161500,63252
2010-09-25,15240,161500,63252
2010-09-26,15240,161500,63252
2010-09-27,15100,161500,65763
2010-09-28,14900,156500,66391
2010-09-29,15440,152000,63879
2010-09-30,15540,153000,61525
2010-10-01,15540,157000,62938
2010-10-02,15540,157000,62938
2010-10-03,15540,157000,62938
2010-10-04,15600,159000,64978
2010-10-05,15460,160500,67175
2010-10-06,15860,160000,67332
2010-10-07,15400,158000,67332
2010-10-08,15160,160000,66548
2010-10-09,15160,160000,66548
2010-10-10,15160,160000,66548
2010-10-11,15060,162500,67175
2010-10-12,14920,158500,67018
2010-10-13,14880,162000,65449
2010-10-14,15000,167500,64664
2010-10-15,15080,163500,64193
2010-10-16,15080,163500,64193
2010-10-17,15080,163500,64193
2010-10-18,15020,154000,63565
2010-10-19,14820,155000,65292
2010-10-20,14900,160000,65449
2010-10-21,15300,162500,63879
2010-10-22,15540,168000,64036
2010-10-23,15540,168000,64036
2010-10-24,15540,168000,64036
2010-10-25,15420,172000,64507
2010-10-26,15260,171500,65135
2010-10-27,15060,171000,64507
2010-10-28,15280,169000,65135
2010-10-29,14900,170000,62624
2010-10-30,14900,170000,62624
2010-10-31,14900,170000,62624
2010-11-01,14940,180500,60583
2010-11-02,14800,183500,61996
2010-11-03,14800,183000,61839
2010-11-04,15260,185500,60897
2010-11-05,15520,181000,63409
2010-11-06,15520,181000,63409
2010-11-07,15520,181000,63409
2010-11-08,15560,180500,61525
2010-11-09,15480,178500,61368
2010-11-10,15800,186000,61054
2010-11-11,15340,177500,58386
2010-11-12,15560,177000,59171
2010-11-13,15560,177000,59171
2010-11-14,15560,177000,59171
2010-11-15,16160,176500,60583
2010-11-16,16220,181000,61054
2010-11-17,15900,186000,60113
2010-11-18,15980,188000,59799
2010-11-19,16360,188000,60583
2010-11-20,16360,188000,60583
2010-11-21,16360,188000,60583
2010-11-22,16960,180500,60426
2010-11-23,16800,175000,62467
2010-11-24,17020,180000,61211
2010-11-25,16900,177500,60740
2010-11-26,16740,175000,59171
2010-11-27,16740,175000,59171
2010-11-28,16740,175000,59171
2010-11-29,16720,176000,59956
2010-11-30,16520,172500,61525
2010-12-01,16400,179000,60740
2010-12-02,17180,177500,60583
2010-12-03,17880,184000,59485
2010-12-04,17880,184000,59485
2010-12-05,17880,184000,59485
2010-12-06,17800,181000,58386
2010-12-07,18020,178000,59171
2010-12-08,17760,180000,59642
2010-12-09,18340,184500,60426
2010-12-10,18380,177000,59956
2010-12-11,18380,177000,59956
2010-12-12,18380,177000,59956
2010-12-13,18600,179500,59799
2010-12-14,18580,182000,60583
2010-12-15,18320,182500,60740
2010-12-16,18220,178000,61996
2010-12-17,18520,178000,63879
2010-12-18,18520,178000,63879
2010-12-19,18520,178000,63879
2010-12-20,18640,180500,65920
2010-12-21,18720,177500,64350
2010-12-22,18780,181500,65606
2010-12-23,18720,182500,65920
2010-12-24,18500,178500,64350
2010-12-25,18500,178500,64350
2010-12-26,18500,178500,64350
2010-12-27,18440,172500,64507
2010-12-28,18760,173500,66391
2010-12-29,18900,176500,68431
2010-12-30,18980,173500,71256
2010-12-31,18980,173500,71256
2011-01-01,18980,173500,71256
2011-01-02,18980,173500,71256
2011-01-03,19160,177000,69530
2011-01-04,19160,178000,69530
2011-01-05,18840,189000,69844
2011-01-06,18600,194000,69530
2011-01-07,18420,198000,70628
2011-01-08,18420,198000,70628
2011-01-09,18420,198000,70628
2011-01-10,18340,198000,67489
2011-01-11,18260,196000,66391
2011-01-12,18600,193500,65449
2011-01-13,18440,192000,63565
2011-01-14,18660,200500,64978
2011-01-15,18660,200500,64978
2011-01-16,18660,200500,64978
2011-01-17,18980,198000,66234
2011-01-18,19380,193500,64664
2011-01-19,19940,193000,62624
2011-01-20,19640,194000,64036
2011-01-21,19420,185500,64350
2011-01-22,19420,185500,64350
2011-01-23,19420,185500,64350
2011-01-24,19420,187500,65920
2011-01-25,19500,189500,64664
2011-01-26,19960,197500,64350
2011-01-27,19880,196000,64036
2011-01-28,20200,188000,63722
2011-01-29,20200,188000,63722
2011-01-30,20200,188000,63722
2011-01-31,19620,179000,62781
2011-02-01,19660,181000,61839
2011-02-02,19660,181000,61839
2011-02-03,19660,181000,61839
2011-02-04,19660,181000,61839
2011-02-05,19660,181000,61839
2011-02-06,19660,181000,61839
2011-02-07,19440,185000,64036
2011-02-08,19220,181000,63879
2011-02-09,19200,176000,64821
2011-02-10,18720,175000,62781
2011-02-11,18300,175500,58700
2011-02-12,18300,175500,58700
2011-02-13,18300,175500,58700
2011-02-14,19060,182500,59485
2011-02-15,19160,180000,58700
2011-02-16,18900,175000,58700
2011-02-17,19080,178000,60269
2011-02-18,19200,179500,60740
