Calendar Basis,,,
Portfolio, ,Default,
Item, , ,
Frequency,일간,KRW,
Non-Trading Day,Previous,Asc,
Include Weekend,ALL, ,
Term,20100101,Current(20251128),
Symbol,A005930,A005380,A035420
Symbol Name,삼성전자,현대차,NAVER
Kind,SSC,SSC,SSC
Item,S410000700,S410000700,S410000700
Item Name,수정주가(원),수정주가(원),수정주가(원)
Frequency,DAILY,DAILY,DAILY
2010-01-01,"15,980","121,000","60,269"
2010-01-02,"15,980","121,000","60,269"
2010-01-03,"15,980","121,000","60,269"
2010-01-04,"16,180","119,000","60,583"
2010-01-05,"16,440","110,000","60,583"
2010-01-06,"16,820","111,000","60,269"
2010-01-07,"16,260","106,000","60,426"
2010-01-08,"16,420","106,000","58,386"
2010-01-09,"16,420","106,000","58,386"
2010-01-10,"16,420","106,000","58,386"
2010-01-11,"15,940","101,500","57,601"
2010-01-12,"16,180","103,000","60,269"
2010-01-13,"15,940","102,000","58,700"
2010-01-14,"16,540","103,500","57,287"
2010-01-15,"16,840","108,000","56,817"
2010-01-16,"16,840","108,000","56,817"
2010-01-17,"16,840","108,000","56,817"
2010-01-18,"16,860","108,000","58,543"
2010-01-19,"16,460","104,500","58,229"
2010-01-20,"16,680","103,500","58,386"
2010-01-21,"17,000","109,000","59,328"
2010-01-22,"16,500","109,500","57,915"
2010-01-23,"16,500","109,500","57,915"
2010-01-24,"16,500","109,500","57,915"
2010-01-25,"16,840","111,000","59,014"
2010-01-26,"16,300","108,500","58,700"
2010-01-27,"16,000","109,000","58,072"
2010-01-28,"16,160","113,500","57,130"
2010-01-29,"15,680","113,000","54,305"
2010-01-30,"15,680","113,000","54,305"
2010-01-31,"15,680","113,000","54,305"
2010-02-01,"15,540","116,000","52,893"
2010-02-02,"15,440","112,000","52,893"
2010-02-03,"15,540","112,000","52,265"
2010-02-04,"15,520","116,000","53,991"
2010-02-05,"15,000","115,500","52,422"
2010-02-06,"15,000","115,500","52,422"
2010-02-07,"15,000","115,500","52,422"
2010-02-08,"14,960","116,000","53,207"
2010-02-09,"15,220","116,500","51,480"
2010-02-10,"15,100","114,000","50,538"
2010-02-11,"15,260","116,000","52,422"
2010-02-12,"15,000","116,000","54,462"
2010-02-13,"15,000","116,000","54,462"
2010-02-14,"15,000","116,000","54,462"
2010-02-15,"15,000","116,000","54,462"
2010-02-16,"15,120","117,000","55,404"
2010-02-17,"15,580","117,500","55,561"
2010-02-18,"15,500","115,500","54,148"
2010-02-19,"15,200","114,500","53,991"
2010-02-20,"15,200","114,500","53,991"
2010-02-21,"15,200","114,500","53,991"
2010-02-22,"15,460","117,000","55,247"
2010-02-23,"15,340","117,000","55,247"
2010-02-24,"15,040","114,000","55,875"
2010-02-25,"14,720","114,000","56,660"
2010-02-26,"14,880","115,000","56,817"
2010-02-27,"14,880","115,000","56,817"
2010-02-28,"14,880","115,000","56,817"
2010-03-01,"14,880","115,000","56,817"
2010-03-02,"15,400","113,500","59,171"
2010-03-03,"15,420","114,500","57,444"
2010-03-04,"15,220","114,500","58,072"
2010-03-05,"15,500","114,500","58,072"
2010-03-06,"15,500","114,500","58,072"
2010-03-07,"15,500","114,500","58,072"
2010-03-08,"15,720","115,000","60,113"
2010-03-09,"15,720","114,000","60,269"
2010-03-10,"15,680","114,500","58,700"
2010-03-11,"15,560","112,000","59,328"
2010-03-12,"15,560","108,000","59,328"
2010-03-13,"15,560","108,000","59,328"
2010-03-14,"15,560","108,000","59,328"
2010-03-15,"15,360","107,500","57,758"
2010-03-16,"15,300","109,500","59,014"
2010-03-17,"15,960","112,000","59,485"
2010-03-18,"15,940","111,500","57,444"
2010-03-19,"16,080","115,000","58,386"
2010-03-20,"16,080","115,000","58,386"
2010-03-21,"16,080","115,000","58,386"
2010-03-22,"16,020","115,500","57,758"
2010-03-23,"16,180","117,500","59,642"
2010-03-24,"16,380","116,500","59,171"
2010-03-25,"16,380","117,000","59,642"
2010-03-26,"16,400","116,000","59,328"
2010-03-27,"16,400","116,000","59,328"
2010-03-28,"16,400","116,000","59,328"
2010-03-29,"16,360","117,000","59,171"
2010-03-30,"16,280","116,000","56,817"
2010-03-31,"16,360","115,500","56,503"
2010-04-01,"16,900","121,000","58,857"
2010-04-02,"17,140","128,000","58,072"
2010-04-03,"17,140","128,000","58,072"
2010-04-04,"17,140","128,000","58,072"
2010-04-05,"17,400","130,500","59,328"
2010-04-06,"17,380","129,000","59,956"
2010-04-07,"17,180","128,000","59,956"
2010-04-08,"17,260","127,500","60,897"
2010-04-09,"17,120","126,500","59,642"
2010-04-10,"17,120","126,500","59,642"
2010-04-11,"17,120","126,500","59,642"
2010-04-12,"16,600","118,000","59,642"
2010-04-13,"16,560","120,000","61,368"
2010-04-14,"16,900","119,500","61,368"
2010-04-15,"17,100","119,000","61,211"
2010-04-16,"16,960","119,000","59,014"
2010-04-17,"16,960","119,000","59,014"
2010-04-18,"16,960","119,000","59,014"
2010-04-19,"16,540","119,000","57,601"
2010-04-20,"16,560","123,000","56,973"
2010-04-21,"17,040","125,000","58,543"
2010-04-22,"16,820","125,500","58,072"
2010-04-23,"16,600","130,000","58,072"
2010-04-24,"16,600","130,000","58,072"
2010-04-25,"16,600","130,000","58,072"
2010-04-26,"16,680","131,500","59,328"
2010-04-27,"16,700","130,000","59,956"
2010-04-28,"16,500","131,500","59,956"
2010-04-29,"16,500","135,500","59,642"
2010-04-30,"16,980","137,000","58,229"
2010-05-01,"16,980","137,000","58,229"
2010-05-02,"16,980","137,000","58,229"
2010-05-03,"16,580","134,500","56,503"
2010-05-04,"16,680","138,000","54,776"
2010-05-05,"16,680","138,000","54,776"
2010-05-06,"16,280","136,500","56,660"
2010-05-07,"15,880","131,000","55,090"
2010-05-08,"15,880","131,000","55,090"
2010-05-09,"15,880","131,000","55,090"
2010-05-10,"16,060","130,500","55,718"
2010-05-11,"15,820","130,500","56,032"
2010-05-12,"15,780","134,000","57,130"
2010-05-13,"16,260","141,500","57,130"
2010-05-14,"16,200","144,500","57,130"
2010-05-15,"16,200","144,500","57,130"
2010-05-16,"16,200","144,500","57,130"
2010-05-17,"15,680","140,500","56,346"
2010-05-18,"15,840","135,500","55,718"
2010-05-19,"15,460","140,000","55,090"
2010-05-20,"15,120","139,500","56,503"
2010-05-21,"15,120","139,500","56,503"
2010-05-22,"15,120","139,500","56,503"
2010-05-23,"15,120","139,500","56,503"
2010-05-24,"15,160","138,500","55,404"
2010-05-25,"14,820","135,500","54,776"
2010-05-26,"15,000","136,000","54,776"
2010-05-27,"15,440","137,000","53,364"
2010-05-28,"15,560","137,500","54,305"
2010-05-29,"15,560","137,500","54,305"
2010-05-30,"15,560","137,500","54,305"
2010-05-31,"15,520","140,000","54,619"
2010-06-01,"15,360","132,500","56,189"
2010-06-02,"15,360","132,500","56,189"
2010-06-03,"15,540","132,000","56,660"
2010-06-04,"15,860","134,000","57,444"
2010-06-05,"15,860","134,000","57,444"
2010-06-06,"15,860","134,000","57,444"
2010-06-07,"15,740","135,000","56,189"
